t,med_1424,med_1389,med_1408,med_1422,med_1378
12.7,59.76819992,59.74700607,59.7621994,59.80559921,59.74250031
12.8,59.7643013,59.74460473,59.76539993,59.80599976,59.74530029
12.9,59.77180099,59.7459625,59.76679993,59.80260086,59.74950027
13,59.76350021,59.75301587,59.76129913,59.79809952,59.75419998
13.1,59.76179886,59.76154805,59.76029968,59.79130173,59.75780106
13.2,59.75719833,59.76432526,59.76100159,59.7840004,59.76390076
13.3,59.76670074,59.77054225,59.76440048,59.77629852,59.77000046
13.4,59.75799942,59.7769891,59.76890182,59.76860046,59.7745018
13.5,59.7641983,59.7739567,59.76279831,59.76240158,59.77640152
13.6,59.76720047,59.78491301,59.76279831,59.75680161,59.77840042
13.7,59.75799942,59.78473697,59.76459885,59.75299835,59.77730179
13.8,59.76589966,59.77724167,59.76800156,59.75099945,59.77619934
13.9,59.77619934,59.775743,59.77090073,59.74879837,59.77190018
14,59.7723999,59.76789637,59.77080154,59.74769974,59.77019882
14.1,59.77500153,59.76585419,59.77069855,59.74879837,59.76789856
14.2,59.77429962,59.76347059,59.76879883,59.74879837,59.76589966
14.3,59.77949905,59.76235342,59.77600098,59.74909973,59.76599884
14.4,59.77259827,59.75694709,59.77610016,59.75080109,59.76639938
14.5,59.77619934,59.75755681,59.77500153,59.75170135,59.76660156
14.6,59.76890182,59.76018229,59.77170181,59.7519989,59.77230072
14.7,59.76649857,59.77103979,59.77069855,59.75460052,59.77519989
14.8,59.76850128,59.77405005,59.77030182,59.75490189,59.77830124
14.9,59.77099991,59.77982943,59.77050018,59.75630188,59.77840042
15,59.75849915,59.77918548,59.76580048,59.75640106,59.77930069
15.1,59.77190018,59.78224083,59.76350021,59.75870132,59.77930069
15.2,59.76409912,59.78828726,59.76100159,59.76290131,59.77590179
15.3,59.76050186,59.78174969,59.76050186,59.76810074,59.77289963
15.4,59.75719833,59.77905613,59.76750183,59.77259827,59.76670074
15.5,59.75320053,59.76153568,59.76490021,59.78070068,59.76079941
15.6,59.76890182,59.75968516,59.76290131,59.78710175,59.75569916
15.7,59.76890182,59.75940255,59.76150131,59.79259872,59.75009918
15.8,59.77180099,59.75225922,59.76300049,59.79790115,59.74919891
15.9,59.76139832,59.75338785,59.77149963,59.80009842,59.74950027
16,59.75669861,59.74219576,59.76940155,59.79959869,59.7507019
16.1,59.77799988,59.74834812,59.77030182,59.79790115,59.7533989
16.2,59.76940155,59.75631003,59.7682991,59.79470062,59.76079941
16.3,59.76720047,59.76602438,59.76940155,59.79040146,59.76729965
16.4,59.76330185,59.7719643,59.77339935,59.78499985,59.77190018
16.5,59.78570175,59.77179007,59.77669907,59.77809906,59.77970123
16.6,59.77270126,59.78731164,59.77590179,59.77069855,59.78540039
16.7,59.77840042,59.78809642,59.77149963,59.76470184,59.78860092
16.8,59.76800156,59.79839192,59.77479935,59.7594986,59.79219818
16.9,59.78860092,59.79398092,59.77500153,59.7582016,59.78919983
17,59.76580048,59.7954324,59.78020096,59.75830078,59.7881012
17.1,59.78329849,59.78087468,59.77709961,59.75880051,59.78319931
17.2,59.77750015,59.78489204,59.7765007,59.76160049,59.77859879
17.3,59.78239822,59.77504041,59.77429962,59.76580048,59.77259827
17.4,59.78689957,59.7719617,59.77909851,59.76839828,59.76819992
17.5,59.77740097,59.76192361,59.77890015,59.76910019,59.76929855
17.6,59.78340149,59.76445012,59.78250122,59.77080154,59.76819992
17.7,59.78379822,59.76016531,59.77709961,59.77000046,59.76919937
17.8,59.77289963,59.76879345,59.77399826,59.77159882,59.77090073
17.9,59.77360153,59.76973279,59.77500153,59.77130127,59.77349854
18,59.77780151,59.77321752,59.77389908,59.77090073,59.77600098
18.1,59.76100159,59.77898653,59.77550125,59.77090073,59.77780151
18.2,59.75910187,59.77388288,59.7677002,59.77019882,59.77819824
18.3,59.76459885,59.78352226,59.76380157,59.77000046,59.77700043
18.4,59.76300049,59.78416306,59.76250076,59.76950073,59.77500153
18.5,59.75699997,59.78113321,59.76470184,59.770401,59.77209854
18.6,59.75759888,59.77295446,59.76440048,59.77190018,59.76789856
18.7,59.76779938,59.76868127,59.76210022,59.77590179,59.76369858
18.8,59.75619888,59.76881633,59.76269913,59.77949905,59.75719833
18.9,59.76549911,59.75392656,59.76010132,59.78250122,59.75469971
19,59.76290131,59.76005772,59.76409912,59.78540039,59.75019836
